"person_id","person_type","crash_record_id","rd_no","vehicle_id","crash_date","seat_no","city","state","zipcode","sex","age","drivers_license_state","drivers_license_class","safety_equipment","airbag_deployed","ejection","injury_classification","hospital","ems_agency","ems_run_no","driver_action","driver_vision","physical_condition","pedpedal_action","pedpedal_visibility","pedpedal_location","bac_result","bac_result_value","cell_phone_use"
"O1255266","DRIVER","9d36131852925b709f35a2eef49fc0f209a6e38ac912ce77b600ddbb246a39419f5f63715fde3e57b0ae1970bf69353de2aaf381be0f153ed51e7c6d32adc9fd","JE493894","1191529","2021-12-31T12:10:00.000",,"CHICAGO","IL",,"M","46","IL","D","SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,"IMPROPER TURN","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255267","DRIVER","9d36131852925b709f35a2eef49fc0f209a6e38ac912ce77b600ddbb246a39419f5f63715fde3e57b0ae1970bf69353de2aaf381be0f153ed51e7c6d32adc9fd","JE493894","1191536","2021-12-31T12:10:00.000",,"CICAGO","IL",,"M","61","IL","D","SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280631","PASSENGER","9d36131852925b709f35a2eef49fc0f209a6e38ac912ce77b600ddbb246a39419f5f63715fde3e57b0ae1970bf69353de2aaf381be0f153ed51e7c6d32adc9fd","JE493894","1191529","2021-12-31T12:10:00.000","3","CHICAGO",,,"F","16",,,"SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255289","DRIVER","d12d50f24317618fc9a0b6ea8bea73cc8caa5040d73d006e4234bd9efca3fb9b0977fb0894f2d74ea216cc9346ee26ba0ccdf0fc169147e1ca5f14c9ec8e8651","JE493909","1191563","2021-12-31T12:06:00.000",,"CHICAGO","IL","60642","M","35","IL","D","SAFETY BELT USED","DEPLOYED, COMBINATION","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255320","DRIVER","b2a883f0294e88a60533a76ac5b986dc68e66908adbbd799f7d45315fff65d1ee7776e3f6e748e6e0ad2b07b0801d517a1f212090fe83da69908b0588d25a502","JE493942","1191582","2021-12-31T12:05:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"DISREGARDED CONTROL DEVICES","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255321","DRIVER","b2a883f0294e88a60533a76ac5b986dc68e66908adbbd799f7d45315fff65d1ee7776e3f6e748e6e0ad2b07b0801d517a1f212090fe83da69908b0588d25a502","JE493942","1191588","2021-12-31T12:05:00.000",,"CHICAGO","IL","60617","F","19","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255275","DRIVER","bfb452d8bde44f56587b494a3291dae40a47c5c64eb3d2d9ae0f22dfd0b272a2e4c88039ed18ad86f5586a08b27b2ff55e2a33803044602458d555ab6bc8dc5d","JE493911","1191544","2021-12-31T12:05:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255276","DRIVER","bfb452d8bde44f56587b494a3291dae40a47c5c64eb3d2d9ae0f22dfd0b272a2e4c88039ed18ad86f5586a08b27b2ff55e2a33803044602458d555ab6bc8dc5d","JE493911","1191551","2021-12-31T12:05:00.000",,"CHARLOTTESVILLE","VA","22903","F","24","VA","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280634","PASSENGER","bfb452d8bde44f56587b494a3291dae40a47c5c64eb3d2d9ae0f22dfd0b272a2e4c88039ed18ad86f5586a08b27b2ff55e2a33803044602458d555ab6bc8dc5d","JE493911","1191551","2021-12-31T12:05:00.000","3","LOUISVILLE","KY","40205","F","24",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"P280635","PASSENGER","bfb452d8bde44f56587b494a3291dae40a47c5c64eb3d2d9ae0f22dfd0b272a2e4c88039ed18ad86f5586a08b27b2ff55e2a33803044602458d555ab6bc8dc5d","JE493911","1191551","2021-12-31T12:05:00.000","6","LOUISVILLE","KY","40205","M","24",,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255277","DRIVER","7d3a0bd116bb0c1b554f0c4772e6a04790b724b858e50c3cb2270b70ee19a8995322f307e7a275a75d2b144cc145ac767f9728e1617fdb3e1078c93a9e9a7786","JE493914","1191545","2021-12-31T12:01:00.000",,"STERLING","VA","20165","M","19","VA","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255278","DRIVER","7d3a0bd116bb0c1b554f0c4772e6a04790b724b858e50c3cb2270b70ee19a8995322f307e7a275a75d2b144cc145ac767f9728e1617fdb3e1078c93a9e9a7786","JE493914","1191547","2021-12-31T12:01:00.000",,"CHICAGO","IL","60618","M","33","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255262","DRIVER","7a0e671d95d3dec797b64b50241912247ec3c258de346d96bfd5f18db9ae0f3e99d37d088ef5e814b2137a4c5e808acb33466e2293054fe02aa90ffbd665a7ff","JE493899","1191528","2021-12-31T12:00:00.000",,"CHICAGO","IL","60653","M","24","IL","D","USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255263","DRIVER","7a0e671d95d3dec797b64b50241912247ec3c258de346d96bfd5f18db9ae0f3e99d37d088ef5e814b2137a4c5e808acb33466e2293054fe02aa90ffbd665a7ff","JE493899","1191532","2021-12-31T12:00:00.000",,"CHICAGO","IL","60653","M","41","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255902","DRIVER","aa49cf01197f55ecd6d0413097c107979bb77ff7d757273d8e159b930d36607e03e781eea55ba6db558a168c329a04aa4cae6bc5c6f6272229304067136a50cb","JE493916","1192096","2021-12-31T12:00:00.000",,"CHICAGO","IL","60630","M","64","IL","D","NONE PRESENT","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"OTHER","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255903","DRIVER","aa49cf01197f55ecd6d0413097c107979bb77ff7d757273d8e159b930d36607e03e781eea55ba6db558a168c329a04aa4cae6bc5c6f6272229304067136a50cb","JE493916","1192105","2021-12-31T12:00:00.000",,"CHICAGO","IL","60630","M",,"IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280784","PASSENGER","aa49cf01197f55ecd6d0413097c107979bb77ff7d757273d8e159b930d36607e03e781eea55ba6db558a168c329a04aa4cae6bc5c6f6272229304067136a50cb","JE493916","1192105","2021-12-31T12:00:00.000","3","NORRIDGE","IL","60706","M","37",,,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255437","DRIVER","f12b14f8eff817567130b48a52a407a4d9c5cb3a437c3eb251af0f1d76146038871da3e0011283c8a1aadb4759882a35010c5de7de0b269ab796ad6061d250d9","JE494120","1191685","2021-12-31T12:00:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255853","DRIVER","3e639edea4565457418b61b5ed70169e2d3a513b4bbcc16343e8cb6e8f95e6a91296e23137c65b0fbc097fbc27b1d3fa6dbde253673ade73a598de5ba24bf7da","JE493913","1192049","2021-12-31T11:50:00.000",,"CHICAGO","IL","60629","M","38","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","MOVING VEHICLES","NORMAL",,,,"TEST NOT OFFERED",,
"O1255854","DRIVER","3e639edea4565457418b61b5ed70169e2d3a513b4bbcc16343e8cb6e8f95e6a91296e23137c65b0fbc097fbc27b1d3fa6dbde253673ade73a598de5ba24bf7da","JE493913","1192053","2021-12-31T11:50:00.000",,"CHICAGO","IL","60609","F","23","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255468","DRIVER","5113a38824469f53baf91a3a797c7c007b24065d592abd0cd8c62f91557ee32e5c06dddbe516479687c27228b6935695446ca0c6e27c595b70f8fb67b5297633","JE494214","1191713","2021-12-31T11:50:00.000",,"CHICAGO","IL","60629","F","62","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255469","DRIVER","5113a38824469f53baf91a3a797c7c007b24065d592abd0cd8c62f91557ee32e5c06dddbe516479687c27228b6935695446ca0c6e27c595b70f8fb67b5297633","JE494214","1191718","2021-12-31T11:50:00.000",,"CHICAGO","IL","60629","M","39","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255860","DRIVER","0ee96e44362f7c3b58e795d81e1507ff968427579526b5aaddc463888438a10f41ef488d70c29f17fc77369dabd4ccf667e1efcdfbd1c7d3315e137eb6f1622b","JE493887","1192055","2021-12-31T11:45:00.000",,"CALUMET CITY","IL","60409","M","20","IL","D","USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255861","DRIVER","0ee96e44362f7c3b58e795d81e1507ff968427579526b5aaddc463888438a10f41ef488d70c29f17fc77369dabd4ccf667e1efcdfbd1c7d3315e137eb6f1622b","JE493887","1192140","2021-12-31T11:45:00.000",,"CHICAGO","IL","60632","M","71","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY","REFUSED",,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280795","PASSENGER","0ee96e44362f7c3b58e795d81e1507ff968427579526b5aaddc463888438a10f41ef488d70c29f17fc77369dabd4ccf667e1efcdfbd1c7d3315e137eb6f1622b","JE493887","1192055","2021-12-31T11:45:00.000","3","CALUMET CITY","IL",,"F","14",,,"USAGE UNKNOWN","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY","REFUSED",,,,,,,,,,,
"P280796","PASSENGER","0ee96e44362f7c3b58e795d81e1507ff968427579526b5aaddc463888438a10f41ef488d70c29f17fc77369dabd4ccf667e1efcdfbd1c7d3315e137eb6f1622b","JE493887","1192140","2021-12-31T11:45:00.000","3","CHICAGO","IL","60632","F",,,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NONINCAPACITATING INJURY","REFUSED",,,,,,,,,,,
"O1255272","DRIVER","4e592de79e9fc053f11795c71c5af0d72cc86e121fa0337eacce2f98787343a2d1e68470a11372a9cc929fbd6726fa248e54ce3fa2d462ee56383414eb83d492","JE493876","1191542","2021-12-31T11:45:00.000",,"CHICAGO","IL","60621","F","0",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"DISREGARDED CONTROL DEVICES","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255273","DRIVER","4e592de79e9fc053f11795c71c5af0d72cc86e121fa0337eacce2f98787343a2d1e68470a11372a9cc929fbd6726fa248e54ce3fa2d462ee56383414eb83d492","JE493876","1191546","2021-12-31T11:45:00.000",,"CHICAGO","IL","60620","F","42","IL","D","USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255274","DRIVER","4e592de79e9fc053f11795c71c5af0d72cc86e121fa0337eacce2f98787343a2d1e68470a11372a9cc929fbd6726fa248e54ce3fa2d462ee56383414eb83d492","JE493876","1191552","2021-12-31T11:45:00.000",,"CHICAGO","IL","60621","M","65","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280636","PASSENGER","4e592de79e9fc053f11795c71c5af0d72cc86e121fa0337eacce2f98787343a2d1e68470a11372a9cc929fbd6726fa248e54ce3fa2d462ee56383414eb83d492","JE493876","1191552","2021-12-31T11:45:00.000","3","CHICAGO","IL","60621","F","53",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1256231","DRIVER","5a2501721ec3424dbb913011e7b0d54743583e790277134d53bec5297696430e709c3399c1ab1ee46b91d17f9ed8333f33d87e5c711c201fd8eeb0b7c02ee053","JE493926","1192419","2021-12-31T11:45:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1256232","DRIVER","5a2501721ec3424dbb913011e7b0d54743583e790277134d53bec5297696430e709c3399c1ab1ee46b91d17f9ed8333f33d87e5c711c201fd8eeb0b7c02ee053","JE493926","1192420","2021-12-31T11:45:00.000",,"DENVER","CO","80223","M","61","CO",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255695","DRIVER","bb6a109875ae398cf8cd02a41ea41b09a495c58333d6177d1d8153af28d85e810456bf28b6eb2e5cff6011e00262ccc67dc844e98dec621a7670a978f294ab52","JF100152","1191941","2021-12-31T11:40:00.000",,"CHICAGO","IL","60649","F","50",,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255260","DRIVER","33199001bec1395120db68044f3354bd769f5396f04aba87168dd2c1ea218c395a2791d0842dfca9cf56fd8e8e5499661d5fcfff74cbbd86eed828d5b9cd1944","JE493867","1191534","2021-12-31T11:30:00.000",,"CHICAGO","IL","60617","F","42","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255261","DRIVER","33199001bec1395120db68044f3354bd769f5396f04aba87168dd2c1ea218c395a2791d0842dfca9cf56fd8e8e5499661d5fcfff74cbbd86eed828d5b9cd1944","JE493867","1191540","2021-12-31T11:30:00.000",,"LANSING","IL","60438","M","34","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255735","DRIVER","ec2a93d4f327b8bb35b3866cfb4af4634e6d31b722cec95e88060d74f396a0da3585d8b8191f4d0f565702981d96445087c5dc2ea3e4015316750f28eba155db","JF100034","1191977","2021-12-31T11:30:00.000",,"CHICAGO","IL","60609","F","27","IL",,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NONINCAPACITATING INJURY","UNIVERSITY OF CHICAGO","A9",,"TOO FAST FOR CONDITIONS","UNKNOWN","REMOVED BY EMS",,,,"TEST NOT OFFERED",,
"O1255813","DRIVER","ec2a93d4f327b8bb35b3866cfb4af4634e6d31b722cec95e88060d74f396a0da3585d8b8191f4d0f565702981d96445087c5dc2ea3e4015316750f28eba155db","JF100034","1192001","2021-12-31T11:30:00.000",,"CHICAGO","IL",,"M","52","IL",,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"P280755","PASSENGER","ec2a93d4f327b8bb35b3866cfb4af4634e6d31b722cec95e88060d74f396a0da3585d8b8191f4d0f565702981d96445087c5dc2ea3e4015316750f28eba155db","JF100034","1192001","2021-12-31T11:30:00.000","3",,"IL",,,,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","UNKNOWN","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1263917","DRIVER","8db693307e1a3c9cbb52d5e4f84fb1124c124c635d03c45786b4b2d651e6ed9b3383dc888c66bc104012ef97e22a0a3ffbfc811c4d5003e1eb740b8fc5ca0618","JF114532","1199814","2021-12-31T11:25:00.000",,,,,"X",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255247","DRIVER","a150853e0070fc365233beaa0fda72a69950b16755ad17fc9d2f07eead716267711e6b9749d6b31e7cea6b7ca9b0b1cbd5c3f27f5c356ee4038ba01d396eccbc","JE493862","1191515","2021-12-31T11:16:00.000",,"UNK","XX",,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255248","DRIVER","a150853e0070fc365233beaa0fda72a69950b16755ad17fc9d2f07eead716267711e6b9749d6b31e7cea6b7ca9b0b1cbd5c3f27f5c356ee4038ba01d396eccbc","JE493862","1191521","2021-12-31T11:16:00.000",,"CHICAGO","IL","60651","F","62","IL","D","USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280628","PASSENGER","a150853e0070fc365233beaa0fda72a69950b16755ad17fc9d2f07eead716267711e6b9749d6b31e7cea6b7ca9b0b1cbd5c3f27f5c356ee4038ba01d396eccbc","JE493862","1191521","2021-12-31T11:16:00.000","2","CHICAGO","IL","60651","F","55",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1256409","DRIVER","4563ea35c2d594bcc0d4bc8d35c36f5eb2e6d60322d43a679d66b947e4fe576a26b75480e357c5e8e573628a72b6389901347a97d966fb98f2f17c8a6c4a3ec7","JF101395","1192589","2021-12-31T11:05:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"IMPROPER BACKING","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255241","DRIVER","89c0634c536ba5736b287ca4c3e41fb5c19b98081e423ac0045fb1d5c0c824cf7b3c12cf952e61d0cbff423c32c574fa519a4a12a4ef6729992ace3610d1ec05","JE493830","1191510","2021-12-31T11:02:00.000",,"CHICAGO","IL",,"M","29",,,"USAGE UNKNOWN","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"FOLLOWED TOO CLOSELY","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255242","DRIVER","89c0634c536ba5736b287ca4c3e41fb5c19b98081e423ac0045fb1d5c0c824cf7b3c12cf952e61d0cbff423c32c574fa519a4a12a4ef6729992ace3610d1ec05","JE493830","1191506","2021-12-31T11:02:00.000",,"CHICAGO","IL","60637","F","30","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280626","PASSENGER","89c0634c536ba5736b287ca4c3e41fb5c19b98081e423ac0045fb1d5c0c824cf7b3c12cf952e61d0cbff423c32c574fa519a4a12a4ef6729992ace3610d1ec05","JE493830","1191506","2021-12-31T11:02:00.000","3","CHICAGO","IL","60636","F","29",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255243","DRIVER","ec5a8407e604576d40f94e9352d938e7c4b92e033f969453878f30a38da579d921a9ba56e45b9f6c91bac0d6dbccdac23970a4a159484bf1c41598ebf7ef70be","JE493849","1191516","2021-12-31T11:00:00.000",,"CHICAGO","IL","60620","M","25","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"WRONG WAY/SIDE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255244","DRIVER","ec5a8407e604576d40f94e9352d938e7c4b92e033f969453878f30a38da579d921a9ba56e45b9f6c91bac0d6dbccdac23970a4a159484bf1c41598ebf7ef70be","JE493849","1191537","2021-12-31T11:00:00.000",,"CHICAGO","IL","60620","F","57","IL","D","USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255234","DRIVER","c92f121c0e6a4e85435224b77cb760b185aaf41d14cf44c41e5de340bf04063e9db4e45e277431fbf695df7b73844836bd374ebb419e830b9c0099423fe8e58d","JE493807","1191505","2021-12-31T10:57:00.000",,"ADDISON","IL","60101","M","30","IL","D","SAFETY BELT USED","DEPLOYED, FRONT","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255235","DRIVER","c92f121c0e6a4e85435224b77cb760b185aaf41d14cf44c41e5de340bf04063e9db4e45e277431fbf695df7b73844836bd374ebb419e830b9c0099423fe8e58d","JE493807","1191520","2021-12-31T10:57:00.000",,"CHICAGO","IL","60649","M","37","IL","B","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255236","DRIVER","f09f5e9226bc4260b55fbf913bbefa9485e89e377b5160ed34a1e2f6d8f5df58fc8ea022fc62baa14ee9b9a18db5b4a2e22838687b2f4f715e8cef0fa529b25c","JE493838","1191507","2021-12-31T10:35:00.000",,"CHICAGO","IL","60610","M","60","IL","D","SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,"IMPROPER LANE CHANGE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255237","DRIVER","f09f5e9226bc4260b55fbf913bbefa9485e89e377b5160ed34a1e2f6d8f5df58fc8ea022fc62baa14ee9b9a18db5b4a2e22838687b2f4f715e8cef0fa529b25c","JE493838","1191511","2021-12-31T10:35:00.000",,"CHICAGO","IL","60610","F",,"IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"P280627","PASSENGER","f09f5e9226bc4260b55fbf913bbefa9485e89e377b5160ed34a1e2f6d8f5df58fc8ea022fc62baa14ee9b9a18db5b4a2e22838687b2f4f715e8cef0fa529b25c","JE493838","1191511","2021-12-31T10:35:00.000","3","CHICAGO","IL","60610","M","19",,,"SAFETY BELT USED","NOT APPLICABLE","NONE","NO INDICATION OF INJURY",,,,,,,,,,,,
"O1255948","DRIVER","67a911c04f922342ca2a160de88405bb729bd1433afa0ada1497dc6e3013f1af3998e5dd36ce79064e493b8461d1119abb931dd35931746c18cc6c766dd663a7","JF100559","1192139","2021-12-31T10:30:00.000",,,,,"M",,,,"USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"DISREGARDED CONTROL DEVICES","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255949","DRIVER","67a911c04f922342ca2a160de88405bb729bd1433afa0ada1497dc6e3013f1af3998e5dd36ce79064e493b8461d1119abb931dd35931746c18cc6c766dd663a7","JF100559","1192145","2021-12-31T10:30:00.000",,"CHICAGO","IL","60637","F","31","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NONINCAPACITATING INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255238","DRIVER","e26f26a6b566af66da062d5319f8cac412ba2ac51073155805dcff5efce4c833d3c34b8838190f90692095d03603b8c99ae937ea9ca62d6280a413704a7da02e","JE493788","1191502","2021-12-31T10:30:00.000",,"CHICAGO","IL","60636","M","23","IL",,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"UNKNOWN","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1255239","DRIVER","e26f26a6b566af66da062d5319f8cac412ba2ac51073155805dcff5efce4c833d3c34b8838190f90692095d03603b8c99ae937ea9ca62d6280a413704a7da02e","JE493788","1191504","2021-12-31T10:30:00.000",,"CHICAGO","IL","60653","M","30",,,"USAGE UNKNOWN","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","NORMAL",,,,"TEST NOT OFFERED",,
"O1256141","DRIVER","ec4a5ff5040f9d9ee28bb366c9b82fcac1ae167b2a6fc170bb1165cd3c5c25d562e072911c1145a9645c867cc906c2bc04fd5ed2f3ce132dd1ef864c10d82039","JF100863","1192334","2021-12-31T10:15:00.000",,"MATTESON","IL",,"F","45","IL","D","USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1256142","DRIVER","ec4a5ff5040f9d9ee28bb366c9b82fcac1ae167b2a6fc170bb1165cd3c5c25d562e072911c1145a9645c867cc906c2bc04fd5ed2f3ce132dd1ef864c10d82039","JF100863","1192337","2021-12-31T10:15:00.000",,"CHICAGO","IL","60613","M","62","IL","D","USAGE UNKNOWN","DEPLOYMENT UNKNOWN","NONE","NO INDICATION OF INJURY",,,,"NONE","UNKNOWN","UNKNOWN",,,,"TEST NOT OFFERED",,
"O1255489","DRIVER","07119a29b64a3007eca90578a42d35248c69eff9e10a72b456b493acbbe3443e3a44c2f421f589d29111941f71dd9cdb4755c28ea866c410b57507e58513ca2f","JE494245","1191739","2021-12-31T10:00:00.000",,"CHICAGO","IL",,"F","34","IL",,"SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"NONE","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
"O1255490","DRIVER","07119a29b64a3007eca90578a42d35248c69eff9e10a72b456b493acbbe3443e3a44c2f421f589d29111941f71dd9cdb4755c28ea866c410b57507e58513ca2f","JE494245","1191737","2021-12-31T10:00:00.000",,"CHICAGO","IL",,"M","28","IL","D","SAFETY BELT USED","DID NOT DEPLOY","NONE","NO INDICATION OF INJURY",,,,"FAILED TO YIELD","NOT OBSCURED","NORMAL",,,,"TEST NOT OFFERED",,
